,Parameter,Parameter,Parameter,Parameter,MPSP [$/kg],MPSP [$/kg],MPSP [$/kg],MPSP [$/kg],MPSP [$/kg],GWP [kg CO2-eq/kg],GWP [kg CO2-eq/kg],GWP [kg CO2-eq/kg],GWP [kg CO2-eq/kg],GWP [kg CO2-eq/kg],FEC [MJ/kg],FEC [MJ/kg],FEC [MJ/kg],FEC [MJ/kg],FEC [MJ/kg]
,Name,Baseline,Min,Max,MPSP baseline,MPSP min,MPSP min diff,MPSP max,MPSP max diff,GWP baseline,GWP min,GWP min diff,GWP max,GWP max diff,FEC baseline,FEC min,FEC min diff,FEC max,FEC max diff
0,Flow rate [U.S. ton/day],2205.0,1984.5,2425.5,1.3507053661070987,1.3507026470316836,-2.719075415047456e-06,1.3507044113152793,-9.547918193852922e-07,2.1839012538275226,2.1838878071994987,-1.34466280239387e-05,2.1838955069219232,-5.746905599401941e-06,22.188489527570272,22.188279189758155,-0.00021033781211698965,22.1883980015373,-9.152603297124529e-05
1,Pretreatment sulfuric acid loading [mg/g-dry feedstock],22.1,10.0,35.0,1.3507078384922266,1.3507062311214175,-1.6073708091202121e-06,1.3507070456090835,-7.928831431414096e-07,2.1839168524370303,2.1839066710650505,-1.0181371979722798e-05,2.1839118650772,-4.987359830455063e-06,22.18873847695714,22.1885759670087,-0.0001625099484421355,22.188658869321532,-7.96076356088804e-05
2,Pretreatment solid loading [%],0.3,0.25,0.4,1.3507381144230985,1.3713857213507918,0.020647606927693296,1.3248629328719261,-0.02587518155117241,2.184072008425302,2.295506386873435,0.11143437844813331,2.0451272664459363,-0.13894474197936546,22.191148420268984,23.933552033022135,1.7424036127531508,20.019206466967553,-2.171941953301431
3,Pretreatment glucan-to-glucose [%],0.099,0.06,0.12,1.3507313040146485,1.3577410496372684,0.007009745622619912,1.3465405326470752,-0.004190771367573287,2.1840176220729495,2.1819663165071708,-0.002051305565778705,2.1852617568820305,0.0012441348090810322,22.190170265143376,22.14240623296844,-0.04776403217493552,22.21869315522092,0.02852289007754294
4,Pretreatment xylan-to-xylose [%],0.9,0.8,0.9200000000000002,1.3505980615927,1.3698092871617586,0.019211225569058632,1.3473606388710686,-0.003237422721631411,2.183682728880731,2.135360869831234,-0.04832185904949693,2.194776198653248,0.011093469772517128,22.184728474658577,21.34248121040367,-0.8422472642549081,22.378983941902355,0.19425546724377796
5,Enzymatic hydrolysis solid loading [%],0.2,0.175,0.25,1.3505247123923196,1.3711099785826544,0.02058526619033474,1.3213694598712937,-0.02915525252102591,2.1832399529155313,2.261161708129984,0.07792175521445266,2.076889749454987,-0.10635020346054436,22.178896259178504,23.32225970433718,1.143363445158677,20.615860798981405,-1.5630354601970993
6,Enzyme loading [mg/g glucan],20.0,10.0,30.0,1.3507176778143763,1.2865210491054295,-0.06419662870894682,1.4149511104007664,0.06423343258639003,2.183978302436513,2.163998703907617,-0.01997959852889597,2.2041062505567863,0.02012794812027341,22.189715770958827,21.974946720221013,-0.21476905073781438,22.406803869681784,0.2170880987229573
7,Enzymatic hydrolysis time [hr],24.0,21.6,26.4,1.3507180780690724,1.3498879703633304,-0.0008301077057419892,1.351522488579475,0.0008044105104025867,2.183980447750876,2.183975493680058,-4.954070818019574e-06,2.183978003591207,-2.444159668879564e-06,22.189749250993852,22.18966978318603,-7.946780782219776e-05,22.189710065526032,-3.918546781989107e-05
8,Enzymatic hydrolysis glucan-to-glucose [%],0.85,0.75,0.8999999999999999,1.3505617671856078,1.3813597229273398,0.03079795574173194,1.3381672042359252,-0.012394562949682664,2.182773289342045,2.110246188612904,-0.07252710072914104,2.219378270651811,0.03660498130976597,22.16829089605085,20.900008843159434,-1.268282052891415,22.81058819976705,0.6422973037162016
9,Csl loading [g/L],10.0,5.0,15.0,1.3507207417365252,1.3496252359028138,-0.0010955058337114298,1.3517715832216997,0.0010508414851744252,2.1840117263001986,2.1633868268214105,-0.020624899478788095,2.2045821958052323,0.020570469505033717,22.190259296075634,22.030142404780907,-0.16011689129472728,22.349634364076188,0.15937506800055345
10,Innoculum ratio [%],0.07,0.05000000000000001,0.1,1.3508593601350012,1.355218995449433,0.004359635314431731,1.3438277159516716,-0.007031644183329577,2.18454056952716,2.203694586274964,0.01915401674780437,2.1539977044651004,-0.030542865062059388,22.200166902873626,22.472139298069955,0.2719723951963289,21.758474549069202,-0.44169235380442373
11,3-hydroxypropionic acid yield [% theoretical],0.53,0.424,0.636,1.3522629007475309,1.424041277918141,0.0717783771706102,1.3004800731055575,-0.051782827641973395,2.192988082515733,2.283690171330241,0.09070208881450803,2.1100856589198953,-0.08290242359583777,22.333171948999087,23.171217990228808,0.8380460412297204,21.39633683314731,-0.9368351158517783
12,Acetic acid yield [% theoretical],0.07,0.004,0.32,1.3238288731392047,1.2489481879743232,-0.07488068516488156,1.7864312594391936,0.46260238629998884,2.0156839007580722,1.9871465396276438,-0.028537361130428485,3.122646277887382,1.1069623771293098,19.510318678492617,20.721721359389683,1.2114026808970664,30.480842793495704,10.970524115003087
13,Seed train time [hr],36.0,32.4,39.6,1.350721899559707,1.350455684941242,-0.0002662146184650993,1.3510321464234465,0.00031024686373948285,2.183925044456899,2.183931616037966,6.5715810668720565e-06,2.183968175581249,4.313112434983779e-05,22.1889054384421,22.18895315688381,4.771844171003181e-05,22.189441759576738,0.000536321134639195
14,Fermentation time [hr],120.0,76.0,145.0,1.3507191041839723,1.3507193583271029,2.5414313054028526e-07,1.3507188837471218,-2.2043685055095352e-07,2.1839293047035704,2.1839243272506788,-4.9774528916302074e-06,2.183926409427298,-2.8952762725076298e-06,22.18898645303554,22.18890333449962,-8.31185359189135e-05,22.188939420655917,-4.7032379622891085e-05
15,Seed train yield [% of R301],0.9,0.8,1.0,1.3507204360126954,1.3507195087199118,-9.272927836700973e-07,1.3507199690484522,-4.669642432730825e-07,2.183938417659235,2.1839323847303564,-6.03292887868534e-06,2.183935443346086,-2.9743131491066777e-06,22.18913189492799,22.189035773848733,-9.612107925605073e-05,22.189084540221454,-4.735470653471907e-05
16,Acidulation time [hr],0.5,0.44999999999999996,0.55,1.3507217597512353,1.3507413073525498,1.9547601314506835e-05,1.35079471342542,7.295367418458376e-05,2.183946721155559,2.1838056781259882,-0.0001410430295707421,2.18407967069412,0.0001329495385609114,22.18926401634093,22.18750336654196,-0.0017606497989675063,22.190895895873144,0.0016318795322156632
17,Dehydration conversion,0.95,0.9025,0.9974999999999999,1.350896310819589,1.3939978881492816,0.04310157732969255,1.3416723363848755,-0.009223974434713567,2.1843135542743704,2.2682639839021688,0.08395042962779842,2.1591605120530484,-0.025153042221321975,22.193791630751498,22.971881210445034,0.7780895796935354,21.924232547497436,-0.2695590832540624
18,Gypsum split,0.995,0.95,1.0,1.3507379716431367,1.3507387955899346,8.239467979009873e-07,1.350718328688081,-1.9642955055632072e-05,2.184050934724945,2.1841215531643607,7.061843941569279e-05,2.1838948076307787,-0.0001561270941663473,22.19092051921822,22.19209699004068,0.0011764708224610843,22.188449932318672,-0.002470586899548266
19,Bt combustion efficiency [%],0.8,0.72,0.8800000000000001,1.3507357810286469,1.3908370888257084,0.04010130779706156,1.3179259708009974,-0.032809810227649505,2.1840340258326156,2.431705415352602,0.24767138951998646,1.9813958551415594,-0.20263817069105627,22.19065283970915,26.130307252699705,3.9396544129905564,18.96733199357893,-3.2233208461302176
20,Plant uptime [%],0.9,0.81,0.9900000000000002,1.3507354287085733,1.40506174285025,0.05432631414167677,1.3062869720653194,-0.04444845664325392,2.1840318511804577,2.184033271965774,1.4207853160641548e-06,2.184032547764154,6.965836960581839e-07,22.190618256333536,22.190640849764577,2.2593431040718315e-05,22.19062933320783,1.1076874294246863e-05
21,Feedstock price [$/kg],0.0628405632131775,0.052899999999999996,0.11699999999999999,1.3507352057129176,1.3129708908037634,-0.03776431490915422,1.5564882618411218,0.20575305612820416,2.1840299206652136,2.1840311821003526,1.2614351390105583e-06,2.1840305386901355,6.180249219056577e-07,22.190587558130236,22.190607616876527,2.005874629062987e-05,22.19059738569206,9.827561825659359e-06
22,Csl fresh price [$/kg],0.07473661799999999,0.0673,0.11200000000000002,1.3507348570993913,1.3505365350616825,-0.00019832203770886458,1.3517296025593366,0.0009947454599452676,2.1840282056338927,2.1840293273664995,1.1217326068013733e-06,2.1840287550471147,5.494132220285053e-07,22.19056028656207,22.190578123656522,1.7837094450356972e-05,22.19056902304424,8.736482168814064e-06
23,Lime fresh price [$/kg],0.262129318,0.15999999999999998,0.288,1.350734616507746,1.2859313749154282,-0.06480324159231787,1.367150208156702,0.016415591648955896,2.1840266829548756,2.184027678014641,9.950597652519377e-07,2.1840271692405455,4.862856699539009e-07,22.19053607344483,22.19055189655237,1.5823107542445314e-05,22.190543806394288,7.732949459438032e-06
24,Natural gas price [$/kg],0.25267762247884107,0.198,0.304,1.3507343975508812,1.3320486891123717,-0.018685708438509474,1.3682736451537147,0.01753924760283354,2.184025327218859,2.1840262121978378,8.849789789877605e-07,2.1840257620091865,4.347903277412968e-07,22.19051451516569,22.190528587833626,1.4072667934073024e-05,22.19052142895224,6.913786549489487e-06
25,Gypsum price [$/kg],0.0,-0.0288,0.007760000000000001,1.3507341907709558,1.4050074610779444,0.054273270306988586,1.336110682527354,-0.014623508243601702,2.1840241199158905,2.1840249089762227,7.890603321847323e-07,2.1840245081517784,3.882358878826153e-07,22.190495317301902,22.19050786451456,1.2547212659086426e-05,22.190501490645506,6.173343603421699e-06
26,Sulfuric acid fresh price [$/kg],0.09479865999999998,0.08531879399999998,0.10427852599999998,1.350734022552943,1.3500494642304803,-0.0006845583224626139,1.3514187492873293,0.0006847267343863539,2.184023048139885,2.1840237492087007,7.010688158892719e-07,2.184023391457443,3.43317558382239e-07,22.190478274124786,22.19048942232681,1.1148202023747444e-05,22.190483733520878,5.4593960925330975e-06
27,Ammonia fresh price [$/kg],0.20355840357815438,0.18320256322033895,0.22391424393596987,1.3507338677953362,1.3496591453166933,-0.001074722478642931,1.3518087398693575,0.001074872074021238,2.184022092352108,2.1840227165195634,6.241674554985366e-07,2.1840223984092058,3.060570978874466e-07,22.19046307555835,22.190473000909066,9.925350717310266e-06,22.190467942399508,4.866841159412161e-06
28,Enzyme price [$/kg],6.16,5.5440000000000005,6.776,1.350733733979971,1.3378144352149748,-0.012919298764996201,1.3636531535572516,0.0129194195772806,2.18402124124436,2.1840217977076914,5.564633314136813e-07,2.184021514153105,2.729087449360179e-07,22.190449541560515,22.190458390222403,8.848661888549714e-06,22.19045388124224,4.3396817268614996e-06
29,System makeup water price [$/kg],0.000440924,0.00039683159999999993,0.00048501640000000003,1.3507336068103404,1.3506106717077442,-0.0001229351025962,1.3508566614110007,0.0001230546006603106,2.184020484350303,2.184020979954019,4.956037162884286e-07,2.1840207267981233,2.4244782048654656e-07,22.19043750556051,22.19044538646197,7.880901460310952e-06,22.190441360947485,3.855386975004649e-06
30,Aerobic caustic price [$/kg],0.262790704,0.23651163360000002,0.28906977440000003,1.3507334987964015,1.3463797706081517,-0.00435372818824975,1.355087329252286,0.004353830455884555,2.184019809332366,2.1840202509987137,4.4166634749487343e-07,2.1840200263898684,2.1705750219425113e-07,22.190426771644148,22.190433794829445,7.023185297327927e-06,22.19043022313557,3.4514914233341187e-06
31,Ash price [$/kg],-0.04181678199399025,-0.045998460193389275,-0.03763510379459122,1.3507333990112746,1.3525322052840538,0.0017988062727791743,1.3489346898929622,-0.0017987091183124804,2.184019207397248,2.1840196015610953,3.9416384733925725e-07,2.184019400367074,1.9296982589622758e-07,22.190417199947262,22.190423467676613,6.267729350639684e-06,22.19042026846458,3.0685173193489845e-06
32,Electricity price [$/kWh],0.07,0.067,0.074,1.3507333144252147,1.3477870501366422,-0.0029462642885724755,1.3546617660380431,0.003928451612828399,2.184018673143963,2.1840190233166545,3.50172691732098e-07,2.184018844309794,1.7116583128640173e-07,22.190408704239534,22.190414272576014,5.56833647991084e-06,22.190411426136045,2.7218965108488646e-06
33,Tci ratio [% of baseline],1.0,0.8999999999999999,1.1,1.348671144718272,1.330126082560026,-0.018545062158245917,1.3486711630908639,1.837259189230167e-08,2.184018196984845,2.184018508660241,3.1167539615850615e-07,2.184018349514174,1.5252932916709483e-07,22.19040113237307,22.190406088574832,4.956201763661738e-06,22.190403557905476,2.425532407812625e-06
